WhatsApp_Ptt_2025-09-24_at_18.18.59_000|yo por suerte en este juego fui muy, como se dice, through road, through road, through como carajo se dice en inglés la palabra, o sea, fui muy meticuloso y me quedaron|yo por suerte en este juego fui muy, como se dice, through road, through road, through como carajo se dice en inglés la palabra, o sea, fui muy meticuloso y me quedaron
WhatsApp_Ptt_2025-09-24_at_18.18.59_001|muy poquitas cosas para encontrar|muy poquitas cosas para encontrar
WhatsApp_Ptt_2025-09-24_at_18.18.59_002|ese de estar poseído, cómo sacarte la curse y un par de cositas que se me pasaron, pero re poquitas cosas.|ese de estar poseído, cómo sacarte la curse y un par de cositas que se me pasaron, pero re poquitas cosas.
WhatsApp_Ptt_2025-09-24_at_18.18.59_003|en el hollow knight ahora que lo replayé|en el hollow knight ahora que lo replayé
WhatsApp_Ptt_2025-09-24_at_18.18.59_004|y nada, debería haberme olvidado menos cosas, pero es más críptico a veces el hollow knight.|y nada, debería haberme olvidado menos cosas, pero es más críptico a veces el hollow knight.
WhatsApp_Ptt_2025-09-24_at_18.18.59_005|me encantó el juego porque además|me encantó el juego porque además
WhatsApp_Ptt_2025-09-24_at_18.18.59_006|lo suficientemente rápido, algo que tiene|lo suficientemente rápido, algo que tiene
WhatsApp_Ptt_2025-09-24_at_18.18.59_007|lento, con dash y todo, y las peleas|lento, con dash y todo, y las peleas
WhatsApp_Ptt_2025-09-24_at_18.18.59_008|lo que tiene hollow knight es que tiene|lo que tiene hollow knight es que tiene
WhatsApp_Ptt_2025-09-24_at_18.18.59_009|rebotás para atrás, tenés un delay en la animación, tenés frames muertos,|rebotás para atrás, tenés un delay en la animación, tenés frames muertos,
WhatsApp_Ptt_2025-09-24_at_18.18.59_010|o sea, tiene una animación predeterminada|o sea, tiene una animación predeterminada
WhatsApp_Ptt_2025-09-24_at_18.18.59_011|dirección|dirección
WhatsApp_Ptt_2025-09-24_at_18.18.59_012|unas batallas que sentí que era un baile o un vals. no me acuerdo cómo se llama, ¿te acordás la hormiga reina roja?|unas batallas que sentí que era un baile o un vals. no me acuerdo cómo se llama, ¿te acordás la hormiga reina roja?
WhatsApp_Ptt_2025-09-24_at_18.18.59_013|que esa pelea, boludo, es espectacular, parece coreografía de lo rápido que te movés, lo que esquivás todo, cómo venís, vas, qué sé yo.|que esa pelea, boludo, es espectacular, parece coreografía de lo rápido que te movés, lo que esquivás todo, cómo venís, vas, qué sé yo.
WhatsApp_Ptt_2025-09-24_at_18.18.59_014|el control es absoluto y son difíciles las batallas.|el control es absoluto y son difíciles las batallas.
WhatsApp_Ptt_2025-09-24_at_18.18.59_015|muy difícil el juego al principio|muy difícil el juego al principio
WhatsApp_Ptt_2025-09-24_at_18.18.59_016|le cambié el ataque|le cambié el ataque
WhatsApp_Ptt_2025-09-24_at_18.18.59_017|y no como todos los yerones que|y no como todos los yerones que
WhatsApp_Ptt_2025-09-24_at_18.18.59_018|motherfucker, te lo dijo hornet|motherfucker, te lo dijo hornet
WhatsApp_Ptt_2025-09-24_at_18.18.59_019|decía|decía
WhatsApp_Ptt_2025-10-22_at_15.48.56_000|hablando de nostalgia y cosas, no sé si igual sencillas, porque me parece,|hablando de nostalgia y cosas, no sé si igual sencillas, porque me parece,
WhatsApp_Ptt_2025-10-22_at_15.48.56_001|así que voy a streamear ahora que terminé estos walking simulators del infierno que estuve jugando.|así que voy a streamear ahora que terminé estos walking simulators del infierno que estuve jugando.
WhatsApp_Ptt_2025-10-22_at_15.48.56_002|y nunca lo jugué|y nunca lo jugué
WhatsApp_Ptt_2025-10-22_at_15.48.56_003|que obviamente no lo podía jugar, y hoy tampoco lo puedo jugar, aunque sepa japonés,|que obviamente no lo podía jugar, y hoy tampoco lo puedo jugar, aunque sepa japonés,
WhatsApp_Ptt_2025-10-22_at_15.48.56_004|3 también lo empecé y no lo seguí lo abandoné después lo tuve en prestigión 4 tampoco lo|3 también lo empecé y no lo seguí lo abandoné después lo tuve en prestigión 4 tampoco lo
WhatsApp_Ptt_2025-10-22_at_15.48.56_005|jugué y ahora en playstation 5|jugué y ahora en playstation 5
WhatsApp_Ptt_2025-10-22_at_15.48.56_006|es un juego de 20 horas, solamente la main story|es un juego de 20 horas, solamente la main story
WhatsApp_Ptt_2025-10-22_at_15.48.56_007|porque se me acabaron los juegos|porque se me acabaron los juegos
WhatsApp_Ptt_2025-10-22_at_15.48.56_008|pero tengo poca plata, ese es el tema|pero tengo poca plata, ese es el tema
WhatsApp_Ptt_2025-10-22_at_15.48.56_009|y recién ahora me llegaron dos pacientes nuevos, pero tengo dos en pre-alta.|y recién ahora me llegaron dos pacientes nuevos, pero tengo dos en pre-alta.
WhatsApp_Ptt_2025-10-22_at_15.48.56_010|en un estado ya de los veo cada 15 días y que me valen como uno no sé este año fue|en un estado ya de los veo cada 15 días y que me valen como uno no sé este año fue
WhatsApp_Ptt_2025-10-22_at_15.48.56_011|difícil porque realmente no tuve tanto recambio por cada alta que di y no volvió un paciente.|difícil porque realmente no tuve tanto recambio por cada alta que di y no volvió un paciente.
WhatsApp_Ptt_2025-10-22_at_15.48.56_012|tengo tiempo para streamear, pero bueno, esto parece que es una cosa de mucho tiempo, tengo que ver cómo es lo de los clips, tengo que...|tengo tiempo para streamear, pero bueno, esto parece que es una cosa de mucho tiempo, tengo que ver cómo es lo de los clips, tengo que...
WhatsApp_Ptt_2025-10-22_at_15.48.56_013|hacer promoción tengo que hacerlo más profesional no quiero gastar más pero tendría que comprar luces|hacer promoción tengo que hacerlo más profesional no quiero gastar más pero tendría que comprar luces
WhatsApp_Ptt_2025-10-22_at_15.48.56_014|más cosas, y eso que compré|más cosas, y eso que compré
WhatsApp_Ptt_2025-10-22_at_15.48.56_015|pero bueno, no sé qué opinás vos|pero bueno, no sé qué opinás vos
WhatsApp_Ptt_2025-10-22_at_15.48.56_016|es un juego de dotemu|es un juego de dotemu
WhatsApp_Ptt_2025-10-22_at_15.48.56_017|es un two player cop|es un two player cop
WhatsApp_Ptt_2025-10-22_at_15.48.56_018|lo demás. grabo el gameplay|lo demás. grabo el gameplay
WhatsApp_Ptt_2025-10-22_at_15.48.56_019|en un horario que vos quieras, cuando puedas|en un horario que vos quieras, cuando puedas
WhatsApp_Ptt_2025-10-22_at_15.48.56_020|salga tu voz en off sin jeta si no igual también podemos jugarlo a secas así|salga tu voz en off sin jeta si no igual también podemos jugarlo a secas así
WhatsApp_Ptt_2025-10-22_at_15.48.56_021|tiene notas de rpg y de roguelike|tiene notas de rpg y de roguelike
WhatsApp_Ptt_2025-10-22_at_15.48.56_022|y yo venía pensando eso|y yo venía pensando eso
